Less.Than.High.School,At.Least.High.School.Diploma,At.Least.Bachelor.s.Degree,Adults.65.and.Older.Living.in.Poverty
14.7,85.3,21.7,8.75
12.4,87.6,26.8,5.2
28.1,71.9,13.5,21.3
25.5,74.5,10.0,12.4
25.3,74.7,12.5,10.8
25.3,74.7,12.0,24.25
25.2,74.8,11.0,21.25
21.5,78.5,16.1,11.1
28.2,71.8,10.8,14.5
26.6,73.4,10.5,10.45
24.1,75.9,12.2,11.95
28.9,71.1,10.9,20.6
23.9,76.1,13.5,24.15
28.6,71.4,9.5,16.0
29.7,70.3,8.4,15.05
20.7,79.3,22.1,13.4
19.9,80.1,16.4,9.2
28.7,71.3,9.7,19.95
26.9,73.1,10.6,17.25
23.5,76.5,13.1,12.45
26.3,73.7,10.1,17.6
23.1,76.9,13.8,13.45
17.8,82.2,17.5,10.85
23.2,76.8,14.3,26.85
31.9,68.1,10.9,17.05
16.2,83.8,20.2,10.2
27.0,73.0,10.9,15.15
18.8,81.2,15.8,11.65
25.3,74.7,9.5,14.55
30.4,69.6,11.8,13.6
27.7,72.3,8.0,11.1
27.4,72.6,9.9,22.2
30.1,69.9,10.0,20.95
23.9,76.1,15.0,16.05
18.1,81.9,19.0,11.55
26.0,74.0,12.0,14.9
13.4,86.6,28.8,10.6
24.7,75.3,9.2,17.35
17.1,82.9,21.5,9.15
24.8,75.2,10.7,11.65
14.8,85.2,30.9,9.55
19.6,80.4,20.8,11.25
26.6,73.4,12.7,17.65
21.2,78.8,20.9,20.05
12.2,87.8,37.4,6.85
20.3,79.7,17.9,17.55
29.0,71.0,8.8,14.25
26.3,73.7,14.5,13.3
17.7,82.3,19.8,12.95
24.6,75.4,11.2,20.45
15.3,84.7,30.5,11.15
19.2,80.8,19.1,12.1
28.5,71.5,13.3,16.35
21.3,78.7,11.5,22.15
20.6,79.4,23.7,16.2
28.4,71.6,12.2,13.15
23.1,76.9,11.9,17.1
20.7,79.3,14.5,9.8
8.5,91.5,39.6,5.15
24.6,75.4,12.8,30.0
24.3,75.7,11.9,15.45
23.9,76.1,15.7,10.2
15.3,84.7,26.2,11.0
24.5,75.5,9.7,12.7
22.0,78.0,9.3,17.85
31.5,68.5,13.2,23.45
30.7,69.3,11.1,14.9
35.9,64.1,9.6,13.8
29.6,70.4,9.0,8.3
8.1,91.9,33.0,3.75
21.6,78.4,13.9,6.15
9.4,90.6,15.9,1.3
4.3,95.7,27.5,0.0
17.4,82.6,20.2,3.7
7.1,92.9,27.1,3.45
6.0,94.0,33.1,0.0
12.4,87.6,27.9,3.55
4.7,95.3,34.7,3.05
7.9,92.1,22.4,4.9
7.5,92.5,24.2,8.65
12.3,87.7,21.8,5.75
22.0,78.0,13.5,20.65
8.2,91.8,20.8,6.05
16.2,83.8,14.9,16.35
26.2,73.8,13.5,1.4
20.4,79.6,12.5,6.2
4.5,95.5,27.4,0.85
11.6,88.4,17.8,7.0
7.7,92.3,29.2,0.0
4.7,95.3,32.3,0.0
8.9,91.1,20.0,3.8
7.4,92.6,23.7,6.25
26.4,73.6,7.7,11.3
10.4,89.6,16.2,12.0
9.5,90.5,17.9,0.0
20.5,79.5,11.5,9.9
27.9,72.1,10.3,31.0
15.2,84.8,21.4,11.2
13.0,87.0,31.1,13.6
16.6,83.4,15.0,11.3
18.2,81.8,13.4,9.65
10.2,89.8,13.4,16.0
23.1,76.9,9.0,6.55
14.4,85.6,29.0,7.2
17.0,83.0,12.0,7.2
19.5,80.5,14.4,12.85
13.2,86.8,29.6,8.45
16.3,83.7,17.9,7.95
29.1,70.9,17.3,16.15
10.6,89.4,23.7,6.7
28.4,71.6,13.3,12.6
20.6,79.4,14.3,15.4
18.9,81.1,13.7,12.25
16.3,83.7,14.5,9.2
15.8,84.2,25.9,7.5
16.2,83.8,14.5,13.9
30.6,69.4,12.7,19.15
22.2,77.8,6.6,20.7
21.0,79.0,17.4,9.6
30.7,69.3,12.6,24.15
16.9,83.1,21.7,13.15
26.9,73.1,8.8,15.8
20.9,79.1,13.8,11.0
14.1,85.9,14.0,10.5
16.3,83.7,20.8,16.1
17.3,82.7,13.8,14.35
16.7,83.3,23.1,10.75
22.6,77.4,13.0,12.8
23.7,76.3,14.2,16.0
23.9,76.1,12.6,20.85
19.7,80.3,12.4,18.7
27.5,72.5,13.6,23.0
19.4,80.6,19.4,14.4
12.6,87.4,26.4,7.8
17.4,82.6,11.6,11.9
20.6,79.4,9.7,14.55
15.0,85.0,20.2,9.15
15.2,84.8,14.7,8.4
19.1,80.9,12.0,14.0
19.3,80.7,14.7,10.1
18.7,81.3,12.5,9.55
21.9,78.1,12.4,15.55
